Timestamp,Original Text,Modified Text,Keywords,Target Score,Target Grade,Target Read Time,Chosen Platform,Chosen Region,Chosen Education,Chosen Age,Letter Count,Sentence Count,Word Count,Unique Word Count,Total Syllables,Avg Syllables per Word,Words Three Syllables,% Words Three Syllables,Longest Sentence,Paragraph Count,Avg Speaking Time,Avg Reading Time,Avg Writing Time,Avg Words per Sentence,Avg Words per Paragraph,Avg Sentences per Paragraph,Avg Characters per Word,Words >4 Syllables,% Words >4 Syllables,Words >12 Letters,% Words >12 Letters,Flesch-Kincaid,Reading Ease,Average Word Length
2025-02-05 12:39:50,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","In Riyadh, Saudi Arabia, a significant event took place at King Khalid International Airport as the first Riyadh Air Boeing 787-9 Dreamliner touched down. This aircraft, which features the airline's elegant pearl livery, is a leased addition and represents a major milestone for Riyadh Air. It will function both as a technical backup and a training resource. Beyond this, Riyadh Air has an existing order for 72 Boeing 787-9 Dreamliners. Over the next few months, this particular aircraft will be pivotal for pilot and crew training sessions. It will also play a crucial role in supporting Riyadh Air's certification process with the General Authority of Civil Aviation (GACA). Once it achieves operational readiness, the aircraft will primarily ensure that Riyadh Air maintains uninterrupted service when it commences operations in 2025.","Riyadh Air, Boeing 787-9 Dreamliner, aviation industry",60,10,30,General,General,General,General,676,7,130,97,211,1.6,10,7.7,"In Riyadh, Saudi Arabia, a significant event took place at King Khalid International Airport as the first Riyadh Air Boeing 787-9 Dreamliner touched down",1,0.9,0.7,3.2,18.6,130.0,7.0,5.2,3,2.3,3,2.3,10.5,52.6,5.2
2025-02-05 13:07:44,"Dear Buzzly, A Story of Purpose
In a bright and buzzing meadow, a little honeybee named Buzzly lived in a hive that shimmered like golden sunshine. From the moment she hatched, Buzzly knew she had an important job. But what exactly was it?
She watched her sisters work all around her—some collecting nectar, others fanning their wings to keep the hive cool, and some caring for the queen. But Buzzly wasn’t sure where she fit in. ""What am I meant to do?"" she asked her wise sister, Bree.
Bree smiled and wiggled her antennae. ""You are a honeybee, Buzzly! Our hive works together to make something wonderful—honey! We help the flowers grow, and we take care of each other. Every bee has a purpose.""
Buzzly flapped her tiny wings hesitantly. ""But what if I’m not good at it? What if I don’t know how?""
Bree nudged her gently. ""That’s why we learn together. Try, and you’ll see.""
So, she followed Bree outside and into the world of colors. Buzzly zipped from flower to flower, collecting sweet nectar and spreading golden pollen. At first, she wobbled and spilled nectar, and sometimes she missed landing on the right flower. She watched as her sisters danced in the air, showing where the best flowers could be found. She listened as the hive buzzed with life, each bee working together, never alone.
One day, Buzzly saw something troubling. A patch of wildflowers had been trampled, leaving no nectar for the bees. She hurried back to the hive. ""The flowers are gone! What will we do?""
The queen bee gathered the hive. ""We will not give up,"" she said. ""We will fly farther, work together, and find new fields to help grow. Our purpose is not just about honey—it is about taking care of the world around us.""
Buzzly still felt nervous. ""What if I can’t find any new flowers?"" she whispered to Bree.
Bree smiled. ""Then we keep looking together.""
And so, Buzzly and her sisters flew beyond their usual fields, spreading pollen, helping flowers bloom, and finding new meadows filled with sweetness. As she worked, Buzzly felt something warm in her heart. She wasn’t just a bee collecting nectar. She was part of something bigger—something that made the world bloom.
That night, as Buzzly curled up in the hive, she finally understood. Her purpose wasn’t just to make honey. It was to be a helper, a team player, and a tiny but mighty force of nature.
So, little one, remember—like Buzzly, you are never alone. You are part of something bigger. When you work with others, share your gifts, and help the world grow, you are a true Honeybee.
And that is the sweetest purpose of all.
The End.","Dear Buzzly, A Story of Purpose
In a vibrant meadow, Buzzly, a young honeybee, resided in a hive that glimmered like the sun. From her earliest days, she sensed her role was crucial, yet unclear. Observing her sisters, some gathered nectar, others ventilated the hive, and a few tended to the queen. Buzzly, uncertain of her place, sought advice from her wise sister, Bree.
Bree explained, ""You are a honeybee, Buzzly! Together, our hive creates honey, aids flowers, and supports each other. Every bee has a role.""
Buzzly, still apprehensive, questioned her abilities. Bree encouraged her, ""We learn as a group. Just try.""
Following Bree, Buzzly ventured out, visiting various flowers, collecting nectar, and dispersing pollen. Initially clumsy, she improved by observing her sisters and listening to the hive's vibrant life.
One day, Buzzly discovered a field of destroyed wildflowers. Alarmed, she reported back to the hive. The queen bee rallied everyone, ""We'll find new fields and continue our work. Our mission extends beyond honey production; it's about environmental stewardship.""
Buzzly, worried about locating new flowers, received reassurance from Bree, ""We'll search together.""
Thus, Buzzly and her sisters explored new territories, aiding in the proliferation of flora. Through her efforts, Buzzly felt a profound connection to her community and the broader world.
As she rested in her hive that evening, Buzzly realized her true purpose was not solely to produce honey but to contribute positively to the world.
So, remember, like Buzzly, you're part of a larger whole. Working collaboratively, sharing your talents, and fostering growth, you embody the essence of a Honeybee.
The End.","environmental stewardship, teamwork, community involvement",30,12,240,LinkedIn,Western Europe,Postgraduate,Adults,1357,22,265,173,426,1.6,31,11.7,"As she rested in her hive that evening, Buzzly realized her true purpose was not solely to produce honey but to contribute positively to the world",1,1.8,1.3,6.6,12.0,265.0,22.0,5.1,3,1.1,5,1.9,8.2,58.69,5.1
2025-02-20 15:32:09,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","Riyadh, Saudi Arabia - Riyadh Air has recently celebrated a significant achievement with the arrival of its first Boeing 787-9 Dreamliner at King Khalid International Airport. This aircraft, leased and beautifully adorned in the airline's distinctive pearl livery, represents a pivotal step for Riyadh Air. It will function initially as a technical spare and a training resource. Beyond its role in training pilots and crew, this aircraft will also aid in the Air Operator Certificate process with the General Authority of Civil Aviation (GACA). Looking ahead, as Riyadh Air prepares to commence operations in 2025, the aircraft will continue to play a crucial role in ensuring operational efficiency and reliability. This addition complements Riyadh Air's substantial order of 72 Boeing 787-9 Dreamliners, underscoring its commitment to growth and excellence in service.",aviation industry,30,12,300,LinkedIn,Western Europe,Postgraduate,Seniors,707,6,131,92,227,1.7,17,13.0,"Beyond its role in training pilots and crew, this aircraft will also aid in the Air Operator Certificate process with the General Authority of Civil Aviation (GACA)",1,0.9,0.7,3.3,21.8,131.0,6.0,5.4,2,1.5,1,0.8,12.9,40.99,5.4
2025-02-20 15:35:37,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","Riyadh, Saudi Arabia – Riyadh Air's inaugural Boeing 787-9 Dreamliner, resplendent in the airline's elegant pearl livery, has successfully touched down at King Khalid International Airport in Riyadh. This leased aircraft represents a pivotal development for Riyadh Air, serving both as a technical reserve and a training resource. In addition to Riyadh Air's initial procurement of 72 Boeing 787-9 Dreamliners, this aircraft will be employed in the upcoming months for pilot and crew training. It will also aid in the airline's certification process with the General Authority of Civil Aviation (GACA). Upon achieving operational readiness, the aircraft will function as a technical backup, facilitating uninterrupted service when Riyadh Air commences operations in 2025.",aviation industry,30,12,300,LinkedIn,Western Europe,Postgraduate,Seniors,624,5,113,84,199,1.8,12,10.6,"Riyadh, Saudi Arabia – Riyadh Air's inaugural Boeing 787-9 Dreamliner, resplendent in the airline's elegant pearl livery, has successfully touched down at King Khalid International Airport in Riyadh",1,0.8,0.6,2.8,22.6,113.0,5.0,5.5,4,3.5,3,2.7,14.4,31.82,5.5
2025-02-20 15:35:54,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","Riyadh, Saudi Arabia - Riyadh Air's first Boeing 787-9 Dreamliner, featuring the airline's exquisite pearl livery, has successfully arrived at King Khalid International Airport. This leased aircraft represents a pivotal development for Riyadh Air, serving both as a technical backup and a training resource. In addition to Riyadh Air's initial order of 72 Boeing 787-9 Dreamliners, this aircraft will be employed for pilot and crew training in the upcoming months. It will also aid in the Air Operator Certificate (AOC) process overseen by the General Authority of Civil Aviation (GACA). Once it achieves operational readiness, the aircraft will act as a technical spare, facilitating seamless service commencement for Riyadh Air in 2025.","Riyadh Air, Boeing 787-9 Dreamliner",30,12,300,YouTube,General,General,General,591,5,112,82,187,1.7,13,11.6,"In addition to Riyadh Air's initial order of 72 Boeing 787-9 Dreamliners, this aircraft will be employed for pilot and crew training in the upcoming months",1,0.7,0.6,2.8,22.4,112.0,5.0,5.3,2,1.8,1,0.9,13.1,40.48,5.3
2025-02-20 15:35:59,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","Riyadh, Saudi Arabia – The inaugural Riyadh Air Boeing 787-9 Dreamliner, featuring the airline's exquisite pearl livery, has successfully touched down at King Khalid International Airport in Riyadh. This leased aircraft represents a pivotal achievement for Riyadh Air, functioning both as a technical reserve and a training resource. In addition to Riyadh Air's initial procurement of 72 Boeing 787-9 Dreamliners, this aircraft will be employed for pilot and crew training in the forthcoming months. It will also aid in the airline's certification process with the General Authority of Civil Aviation (GACA). Upon attaining operational readiness, the aircraft will act as a technical backup, facilitating seamless service commencement for Riyadh Air in 2025.",Boeing 787-9 Dreamliner,30,12,300,YouTube,USA/Canada/UK/Aus/NZ,Postgraduate,Seniors,613,5,112,81,192,1.7,15,13.4,"Riyadh, Saudi Arabia – The inaugural Riyadh Air Boeing 787-9 Dreamliner, featuring the airline's exquisite pearl livery, has successfully touched down at King Khalid International Airport in Riyadh",1,0.7,0.6,2.8,22.4,112.0,5.0,5.5,3,2.7,2,1.8,13.1,40.48,5.5
2025-02-20 15:35:59,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","Riyadh, Saudi Arabia – Riyadh Air has recently welcomed its first Boeing 787-9 Dreamliner, resplendent in the airline's elegant pearl livery, to King Khalid International Airport. This leased aircraft represents a pivotal development for Riyadh Air, serving both as a technical reserve and a training resource. In addition to the original procurement of 72 Boeing 787-9 Dreamliners, this aircraft will be employed for pilot and crew training in the upcoming months. It will also assist in the Air Operator Certificate process with the General Authority of Civil Aviation (GACA). Once it achieves operational readiness, the aircraft will function as a technical backup, facilitating seamless service commencement for Riyadh Air in 2025.",Boeing 787-9 Dreamliner,30,12,300,YouTube,USA/Canada/UK/Aus/NZ,Postgraduate,Seniors,593,5,111,79,189,1.7,16,14.4,"Riyadh, Saudi Arabia – Riyadh Air has recently welcomed its first Boeing 787-9 Dreamliner, resplendent in the airline's elegant pearl livery, to King Khalid International Airport",1,0.7,0.6,2.8,22.2,111.0,5.0,5.3,2,1.8,1,0.9,13.1,40.69,5.3
2025-02-20 15:36:33,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","Riyadh, Saudi Arabia - Riyadh Air's first Boeing 787-9 Dreamliner, featuring the airline's elegant pearl livery, has successfully arrived at King Khalid International Airport. This leased aircraft represents a key advancement for Riyadh Air, serving both as a technical backup and a training resource.

In addition to the initial order of 72 Boeing 787-9 Dreamliners, this aircraft will be used in the upcoming months for pilot and crew training. It also plays a crucial role in supporting Riyadh Air's certification process with the General Authority of Civil Aviation (GACA). Once it achieves operational readiness, the aircraft will act as a technical spare, aiding in seamless service commencement in 2025.","Riyadh Air, Boeing 787-9 Dreamliner, aviation industry",60,10,300,Facebook,Western Europe,College,Adults,567,5,109,82,179,1.6,14,12.8,"In addition to the initial order of 72 Boeing 787-9 Dreamliners, this aircraft will be used in the upcoming months for pilot and crew training",2,0.7,0.5,2.7,21.8,54.5,2.5,5.2,2,1.8,2,1.8,12.9,41.09,5.2
2025-02-20 15:48:26,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","In Riyadh, Saudi Arabia, a significant event for Riyadh Air has occurred with the arrival of their first Boeing 787-9 Dreamliner at King Khalid International Airport. This aircraft, leased and showcasing the airline's elegant pearl livery, represents a critical step forward for the airline. It will function initially as a technical spare and for training purposes. Beyond its role in training pilots and crew, this aircraft will assist in the airline's certification process with the General Authority of Civil Aviation (GACA). With an original order of 72 Boeing 787-9 Dreamliners, Riyadh Air is preparing meticulously for its service launch in 2025, ensuring operational excellence from day one.","Riyadh Air, Boeing 787-9 Dreamliner, aviation",30,12,300,YouTube,East Asia,Postgraduate,Seniors,561,5,107,80,180,1.7,15,14.0,"In Riyadh, Saudi Arabia, a significant event for Riyadh Air has occurred with the arrival of their first Boeing 787-9 Dreamliner at King Khalid International Airport",1,0.7,0.5,2.7,21.4,107.0,5.0,5.2,2,1.9,2,1.9,12.8,41.29,5.2
2025-02-20 16:27:20,Default Project,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","Riyadh, Saudi Arabia – Riyadh Air recently welcomed its first Boeing 787-9 Dreamliner, featuring a striking pearl livery, at King Khalid International Airport. This aircraft, a lease, represents a crucial step for Riyadh Air, serving as a technical spare and a training resource. In addition to the original order of 72 Boeing 787-9 Dreamliners, this aircraft will be pivotal over the next few months. It will be used for pilot and crew training and to assist in the Air Operator Certificate process with the General Authority of Civil Aviation (GACA). Once it achieves operational readiness, the aircraft will also act as a technical spare, ensuring seamless operations for Riyadh Air's anticipated service launch in 2025.",Boeing 787-9 Dreamliner,30,12,300,General,Latin America,College,Seniors,575,5,115,84,185,1.6,13,11.3,It will be used for pilot and crew training and to assist in the Air Operator Certificate process with the General Authority of Civil Aviation (GACA),1,0.8,0.6,2.9,23.0,115.0,5.0,5.0,2,1.7,1,0.9,12.2,48.33,5.0
2025-02-20 16:28:06,Default Project,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","In Riyadh, Saudi Arabia, a significant event unfolded as the first Riyadh Air Boeing 787-9 Dreamliner, featuring the airline's exquisite pearl livery, touched down at King Khalid International Airport. This aircraft, a leased addition, represents a pivotal development for Riyadh Air, serving both as a technical reserve and a training resource. Beyond its role in augmenting Riyadh Air's fleet, initially comprising an order of 72 Boeing 787-9 Dreamliners, this aircraft will be instrumental over the forthcoming months. It is slated for use in comprehensive pilot and crew training programs and will play a crucial role in facilitating Riyadh Air's certification process with the General Authority of Civil Aviation (GACA). Achieving operational readiness is paramount, after which the aircraft will be designated as a technical backup, ensuring seamless service commencement in 2025.",Riyadh Air Boeing 787-9 Dreamliner,30,12,300,General,Latin America,College,Seniors,719,5,131,96,228,1.7,17,13.0,It is slated for use in comprehensive pilot and crew training programs and will play a crucial role in facilitating Riyadh Air's certification process with the General Authority of Civil Aviation (GACA),1,0.9,0.7,3.3,26.2,131.0,5.0,5.5,3,2.3,3,2.3,14.7,36.42,5.5
2025-02-20 16:29:10,Default Project,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.",A new airplane has arrived in Riyadh. It is very special and looks beautiful. This airplane will help pilots learn and get ready to fly. It will also help the airline start flying in 2025.,"Riyadh Air, Boeing 787",100,1,300,General,General,General,General,146,4,35,29,45,1.3,1,2.9,This airplane will help pilots learn and get ready to fly,1,0.2,0.2,0.9,8.8,35.0,4.0,4.2,0,0.0,0,0.0,3.2,87.92,4.2
2025-02-20 16:29:53,riyadh air,"Riyadh, Saudi Arabia – The first Riyadh Air Boeing 787-9 Dreamliner, adorned in the airline’s stunning pearl livery, has landed at King Khalid International Airport in Riyadh. This leased aircraft marks a significant milestone for Riyadh Air and will serve as a technical spare and training asset.

This leased aircraft is in addition to Riyadh Air’s original order of 72 Boeing 787-9 Dreamliners. It will be utilized over the coming months for pilot and crew training, as well as to support the airline’s Air Operator Certificate (AOC) process with the General Authority of Civil Aviation (GACA). Once operational readiness is achieved, the aircraft will serve as a technical spare to ensure smooth operations when Riyadh Air begins service in 2025.","A new plane has landed in Riyadh. It is a big Boeing plane. It will help train pilots. Soon, it will fly with Riyadh Air.","Boeing 787-9 Dreamliner, Riyadh Air",100,1,300,General,General,General,General,92,4,25,21,28,1.1,0,0.0,A new plane has landed in Riyadh,1,0.2,0.1,0.6,6.2,25.0,4.0,3.7,0,0.0,0,0.0,-0.3,107.38,3.7
